,account_name,user_name,followed,s_follow,s_follow2
26,マザーシップ・ソーラーシステムの光線,helmesl444,"2023/03/7,shakunone,1/27,CS60osaka1,2022/12/28,yuridesign_vn,2022/11/3,bluelotus808,2022/10/9,Omaoma2140,2022/9/19,misatofikiitos,happysmileseed4,kashiwagi84,2022/9/10,Akirin18,2022/9/5,komaList0311,2022/8/23,Rururuu_0406,2022/8/18,FUKUGOD,2022/7/13,kuroyoubi14",milky_way__love,sakamotomisuzu
27,現世転生/アブラハムのお告げ,abrhm_21,"2023/03/8,radran10,2022/12/27,yunomamaT,2022/12/23,ieskirist_issei,2022/12/12,195594mi,2022/12/5,mote_otokouke,2022/11/28,http_hebimiko,2022/11/25,kashima_jingu,2022/11/22,kanda_myoujin,2022/11/14,irorisanzoku,2022/10/25,uranai_mizugaam,2022/9/19,yukata03,jasmin_igoSmile,2022/9/16,tninnaka",career_kenta,
28,ウアジャト女神,GoddessUajat,"2/22,zicocouteikan,1/11,yamabuki_usa,zicocouteikan,1/6,kaede_uranai7,2022/12/5,twi_jinjya_,2022/10/21,ina_mirisa,2022/9/4,marebito0215",nihontoshiconsa,
29,星野ルカ✨🌈,kjyydeym,"2023/03/8,yaino_group,2022/12/12,koichi_kawakami,2022/12/5,mahide8,gabrriera2022/11/22,e98SnMZJchhlqjt,2022/10/11,yamagata88akira,2022/10/5,mika_n_chan1994,2022/9/3,nanami00463354,Remusuro,2022/8/8,MANAMI82614555,miurennrenn,2022/7/5,oM4MPkb5I75QZO9",kanzakimeri,
30,女神の帰還ヒーリング 🌹✨／イルカ🐬,fbNA0UYB7W38,"2023/03/8,Ryoot13,2022/11/16,Ryoot13,KASUGASHRINE,2022/9/11,kakkouinkyosho,2022/9/6,mii2525jp,2022/8/23,itoko_nikon,2022/7/15,0_ZERO_8,2022/9/11,kakkouinkyosho,2022/9/6,mii2525jp,2022/8/23,itoko_nikon,2022/7/15,0_ZERO_8",masyumaro_ayuyu,
31,プレアデスの夜明け／天使の領域との強い繋がり,Braunvernicenmr,"2023/03/7,mako_chie,1/26,2qiaLo,1/11,manami_body,tabehoJ,1/6,raoutanaka,2022/12/27,isshy_kinun,2022/12/8,usalica,Monjiro_2017,2022/10/30,ZiNmt6f,2022/10/25,uranai_oushiza,2022/9/21,kattsun0629",neppu6147,yurika10311
32,霊視、直観能力アップのサポート,reishi54789,"2023/03/4,jurinasuehiro,1/18,Carriekonkatsu,1/14,shiningerikafo1,2022/12/24,chirori_san,2022/12/12,coco_369_,2022/11/14,maru_u001,2022/11/7,t3zlwoCONg52AML,2022/10/21,kae4649ne,2022/7/13,kinoshita_nw",michipo5,goph_
33,ニューアトランティスプロジェクト/地球の解放,axtagksz,"2023/03/8,fukazume_taro,2022/12/24,yuuymusubu,2022/12/22,yuuymusubu,2022/7/30,con6_con6_,2022/6/9,Zero58533086,yuuymusubu",Zero58533086,
34,アルクトゥルスの目覚め～生きる力を養う～引きこもり、うつ病、精神病、自傷、ED治療、不感症改善,YmKFD72vAdwQ,"2023/03/8,matsuzakichikai,1/14,shiguree_uranai,2022/12/30,tomoya_friends7,2022/12/12,aoe_toma47,2022/11/25,k1u1mamoto,2022/11/1,yoshinari1978,2022/9/28,yocoo__k,2022/9/23,yukarin_fukugyo,nanagoro3,2022/7/15,yuzuka_tecpizza",aya_gokigen,
35,観音コレクション／サイキックエナジー,FarrisftHanna,"2023/03/8,apricot_candy_a,1/14,yuka_nexwave,2022/12/27,spi_uranai01,2022/12/3,ooya_jumasy8,peetanpeetan63,2022/11/28,monaka_amatou2022/11/22,KASUGASHRINE,2022/11/14,kenkun_jinja,2022/11/7,apricot_candy_a,2022/8/10,fukufuk52988398,2022/7/30,riemann_100,2022/7/13,hanamar79700561",yama202206,
36,直感・目覚め／シヴァ(Shiva)瞑想・葵(あおい）,MandieHeiple,"2023/03/11,fukuya_online,2023/03/8,maa_dietdesu,1/21,seisei19790706,2022/12/30,Noa37365256,2022/12/12,AsagayaShinmei,2022/11/23,ynu_j3,2022/11/5,inari_fox_08,2022/9/14,yopparai_chmist,2022/8/7,Uranai_SHINKIDO,naokichi_accept,2022/7/15,pepegumi",YUJI_MZTN,
37,グレートセントラルサン(銀河の中心太陽、宇宙のソース)との繋がりを強化 5134380728,centralsun123,"2023/03/8,joker_peaches,1/11,joker_peaches,b_aomidori,1/9,kenny_gby,1/6,koichi86645421,2022/7/5,fortune_sou",b_aomidori,
